Exercise,Difficulty Level,"Target Muscle Group ",Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,"Primary Equipment ",# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,"Continuous or Alternating Arms ",Grip,Load Position (Ending),"Continuous or Alternating Legs ",Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,
Bodyweight Dead Bug,Beginner,Abdominals,Rectus Abdominis,Obliques,Rectus Femoris,Bodyweight,1,,0,Supine,Single Arm,Alternating,No Grip,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural,
Bodyweight Alternating Heel Taps,Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,,0,Supine,Double Arm,Alternating,No Grip,No Load,Continuous,No Elevation,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Bodyweight Flutter Kicks,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Bodyweight Kneeling Forearm Plank,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Frontal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Bodyweight Seated Ab Circles,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Seated Floor,No Arms,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Ring Hanging Oblique Knee Raise,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Stability Ball Stir the Pot,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Bodyweight Alternating Lateral Kick Through,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Rotational,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Animal Flow,
"Ring L Sit Hang Flutter Kicks ",Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,
Slam Ball Russian Twist,Intermediate,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Slam Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Dumbbell Otis Up,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Dumbbell,1,,0,Supine,Double Arm,Continuous,Crush Grip,Overhead,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
"Single Arm Dumbbell Side Plank Reach Through ",Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,,0,Side Plank,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Ab Wheel Kneeling Rollout,Novice,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Ab Wheel,1,,0,Prone,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Cable Seated Crunch,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Cable,1,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,
Cable Kneeling Crunch,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Cable,1,,0,Kneeling,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,
Medicine Ball V Up,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Medicine Ball,1,,0,Supine,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Suspension Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Suspension Lateral Knee Tuck,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
"Suspension Archer Row ",Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,,0,Standing,Double Arm,Alternating,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*,
Single Arm Dumbbell Turkish Get Up,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,,0,Supine,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds,
Bodyweight Bear Crawl,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Unsorted*,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Animal Flow,
Stability Ball Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
"Ring Hanging Leg Raise ",Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Parallette L Sit,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,0,L Sit,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Bodyweight Standing Walkout Plank,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Standing,Double Arm,Alternating,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Ring Eccentric Pull Up,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics,
Barbell Climb,Expert,Abdominals,Rectus Abdominis,,,Barbell,1,,0,Standing,Double Arm,Alternating,Neutral,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,
Bodyweight Ipsilateral Bird Dog,Advanced,Abdominals,Rectus Abdominis,Gluteus Maximus,Erector Spinae,Bodyweight,1,,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Ipsilateral,Unsorted*,
Bodyweight Copenhagen Plank Knee to Elbow,Advanced,Adductors,Adductor Magnus,,,Bodyweight,1,Bench (Flat),1,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,Foot Elevated (Side),Single Exercise,Hip Adduction,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*,
Ring Eccentric Chin Up,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics,
Single Arm Dumbbell Seated Shoulder External Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,Bench (Flat),1,Seated,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*,
Double Dumbbell Seated Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*,
Double Dumbbell Standing Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*,
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,,0,Half Kneeling,Single Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*,
Miniband Fire Hydrant,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,,0,Quadruped,No Arms,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding,
Medicine Ball Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Medicine Ball,1,,0,Seated Floor,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Bodyweight Side Plank,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,,0,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,
Cable Reverse Crunch,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Cable,1,,0,Supine,No Arms,Continuous,No Grip,Other,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Cable Rope Half Kneeling High to Low Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Cable Rope Half Kneeling Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,"Kettlebell ",2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding,
"Cable Rope Staggered Stance High to Low Chop ",Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Cable Rope Staggered Stance Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Single Arm Dumbbell Windmill,Intermediate,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,"Kettlebell ",2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding,
Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,"Kettlebell ",2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding,
"Bodyweight Feet On Wall Mountain Climber ",Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Bodyweight,1,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,Feet Elevated,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,
Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,"Kettlebell ",2,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Bodyweight Hollow Body Hold,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Supine,Double Arm,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1,,0,Supine,Double Arm,Continuous,Crush Grip,Other,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Bar Inverted Hanging Crunch,Expert,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Pull Up Bar,1,,0,"Inverted ",No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Bodyweight Inverted Hanging Oblique Crunch,Expert,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Bodyweight,1,,0,"Inverted ",No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,"Kettlebell ",2,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Bodyweight Supine Alternating Single Leg Raise,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Bodyweight,1,,0,Supine,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Bodyweight Supine Leg Raise,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Bodyweight,1,,0,Supine,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Miniband Bicycle Crunch,Novice,Abdominals,Obliques,Rectus Abdominis,,Miniband,1,,0,Supine,No Arms,Alternating,Head Supported,No Load,Alternating,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Bodyweight Side Plank Reach Through,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,,0,Side Plank,Single Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,
Bodyweight Sit Up,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Bodyweight Butterfly Sit Up,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Slider Mountain Climber,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Sliders,2,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
"Slider Pike ",Advanced,Abdominals,Rectus Abdominis,,,Sliders,2,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Stability Ball Pike,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Slider Wide Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Anterior Deltoids,Sliders,2,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Alternating,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Stability Ball Crunch,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Stability Ball,1,,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Stability Ball Feet Elevated Oblique Crunch,Beginner,Abdominals,Obliques,Rectus Abdominis,Iliopsoas,Stability Ball,1,,0,Supine,No Arms,Continuous,Head Supported,No Load,Continuous,Feet Elevated,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Stability Ball Kneeling Rollout,Beginner,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Stability Ball,1,,0,Prone,Double Arm,Continuous,Forearm,No Load,Continuous,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Stability Ball Single Leg Knee Tuck,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Foot Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Stability Ball Single Leg Pike,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Foot Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Double Dumbbell Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,2,,0,Seated Floor,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding,
Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,"Kettlebell ",2,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Dumbbell,2,,0,Standing,Double Arm,Continuous,Pronated,Other,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding,
Single Arm Dumbbell Side Plank,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,,0,Side Plank,Single Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Bodyweight Single Leg Glute Bridge,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Bodyweight,1,,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding,
Dumbbell Glute Bridge,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Dumbbell,1,,0,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Obliques,Bodyweight,1,,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Isometric Hold,Hip Extension,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding,
Miniband Side Lying Clamshell,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,,0,Side Lying,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding,
Miniband Ankle Side Lying Hip Abduction,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,0,Side Lying,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding,
